name,personality,description
Nanako Tenjo,"Resentful, Determined","Nanako Tenjo (天城 那々子 Tenjō Nanako?) was the sniper for CCC in which she went under the code name 07 / Zero Seven (ゼロナナ Zero Nana?). She harbored a strong resentment towards devils and was determined to kill all of them because of a traumatic event that happened in her past, but her thinking regarding the co-existence of humans and devils began changing after seeing Yuuki Anzai and Tsukasa Taira's devoted relationship.

After deserting from the CCC, she is now being pursued both by the CCC and the police. Having nowhere to go, she agreed to assist F Squad's investigation; a group Anzai is a part of, along with her friend and ally, Kenichi Yoshii. Nanako is noted to be a beautiful young woman, she has a relatively tall height with a fit build. She has straight black hair that she initially wore longer; in upper-back length and bangs that framed her face, which she occasionally wore in a ponytail. But after deserting from the CCC, she cut her hair to ear-length, as well her as her bangs more evenly so it covers only her forehead. She has medium-colored sharp eyes, and is also often seen with earrings.
After the three-month timeskip, her hair has grown out so she now can wear it in a ponytail. She also has a small scar above her left eyebrow."
Juliana Lloyd,"Outspoken, Responsible","Juliana Lloyd (ジュリアナ・ロイド Juriana Roido?), also known as Jill (ジル Jiru?) for short, is a devil police officer in F Squad. She is an outspoken member of the team who is never afraid to speak her mind or mess with Yuuki Anzai. Jill is described as a very beautiful woman, she has a slim, voluptuous and tall figure, standing at 174 cm. Her blonde hair is wavy and about shoulder-length, which she either wears loose or in a ponytail. Her hair is middle parted with bangs framing her face. She has green eyes, and is frequently seen with makeup, and she's skilled at using makeup to hide the dark circles under her eyes due to being a non-blood-drinking devil. In the past, she had short, ear-length hair with bangs covering her forehead. In the past, Jill was said to be very tomboyish and headstrong.

In the present, Jill exhibits a big-sister aura to her, as she is responsible and mature. However, she isn't afraid to speak her mind and will frankly speak her mind. She is also teasing and occasionally teases Anzai. Although she is generally cheerful and kind, with some occasional bashfulness, Jill sees herself as a burden to others since, despite being a devil, she cannot put good use it as Anzai or Johannes Kleiman. Jill also doesn't have the self-confidence to face dangerous situations and will become rather relieved when she is ordered to not deploy. She feels like being a devil is a ""disease""."
Mako Mizukoshi,"caring, quick-tempered",She is the student affiliated with Kazami Junior High school class 3-1. Mako is a close friend of Nemu and is often concerned about her. She can be angered easily.
Yura Keikain,"determined, disciplined",She is an onmyōji of the Keikain House who specializes in shikigami. She is able to maintain four at once. She was raised to see yōkai as evil.
Mariya Mikado,"spirited, controlling","She is Mizuho's first cousin and childhood friend who knows him very well. Mariya has a very spirited personality which she uses often to make sure Mizuho is acting feminine in every way: appearance, mannerisms, and even speech. This often includes using mild violence."
Julia,"Caring, Committed","An officer of the Rebel Army, she's often deployed with Allen Jr. on missions.

It is presumed that the two are dating, given that Jr. has a tattoo stating ""Love, Julia"" on his left arm. She also acts much like him in battle, using similar weapons. However, she also shows a soft and caring side towards her soldiers, not wanting any of them to be killed or captured by the Regular Army."
Kirino Konosaka,"Timid, Affectionate","Kirino is Haruhiko's childhood friend and next door neighbor. They are such good friends that she often comes over to his house in the mornings before school to not only wake him up, but also to make him breakfast. She tends to be the unfortunate receiver of much of Haruhiko's teasing due to her timid nature, though she does not mind it much, as she is in love with Haruhiko."
Karin Touno,"Childish, Charming","She tends to act more childish then the others members of the club. She also has this sort of charm that only Natsuki is immune to. Like everyone else in the show, she is shown to commonly break the forth wall."
Nobara Yukinokouji,"Confident, Fashionable","Nobara Yukinokouji (雪小路野ばら Yukinokōji Nobara) is the partner of Sorinozuka. Her youkai form is a Yuki-onna (snow woman). In her human form, she wears glasses and it seems to love fashion and girls. In her youkai form, she wears a long kimono. In her free time she likes to read adult magazines with beautiful women in them, and she shares and discusses those moments with Sorinozuka."
Nanaka Shirakawa,"Shy, Artistic","She is the student of Kazemi affiliated junior high class 3-2, the school idol. She likes singing, but not in front of others. Nanaka is the lead singer of the school band together with Koko Tsukishima her childhood friend who plays the bass."
Otome Asakura,"responsible, creative","She is Yume's older sister and one of Junichi and Nemu's granddaughters. She is the student of Kazemi senior high class 2-3 and the chairman of the student council. She has the ability to create Japanese sweets, using calories from her body as fuel in the process."
Kei Shindou,"outgoing, energetic","Kei is very athletic and enjoys running. She is a star player on the school's girls varsity basketball team despite being only a freshman. Her personality is outgoing and energetic, the opposite of her quiet and reserved twin sister Chihiro Shindou.
She lives in Otowa, Japan and attends Otobane Academy as a freshman."
Nagi Hirono,"energetic, kind","Nagi Hirono is the older sister of Hiro Hirono and is a professional artist who lives in Otowa, Japan. She was a former student at Otobane Academy, having attended that school at the same time as Yuu Himura and Kuze Shuichi. Nagi has known Yuu since at least middle school, and she is a good friend to him, as well as being his artistic mentor.
Nagi's demeanor is energetic but kind. She is a true artist, and she will paint self-portraits of herself nude in the school's art studio right in front of Yuu with no embarrassment whatsoever. In flashbacks she is shown not wearing glasses."
Red Eye,"Determined, Brave","She is a member of the Government Forces' Special Forces. On her way to investigate information regarding the sighting of a UFO at a rebel army base, she discovers that the enemy has made contact with space aliens. But she also learns that a member of PF Squad has also obtained this intel and races for the enemy base alone, hoping she's not beaten to the action."
Destrade,"Brave, Caring","Originally famed for her bravery as a mercenary, she was scouted by Allen O'Neil and now belongs to the Morden Army. Every day she strives to strengthen her muscles, and her fully ripped body is acknowledged by the Devil Sergeant. She's caring, and looks and acts like a big sister, but she shows no mercy to those who are enemies of the sergeant she respects so much."
Aileen,"Rebellious, Adventurous","She was a member of the Amadeus syndicate but she joined up with the pirates because she couldn't stand military discipline, and wanted more freedom to act on her own. She keeps enjoying alcohol and sometimes drinks too much, even during the middle of a battle. However, her equipment has been customized so that even drunk her ability will not be impeded. Because she aims to collect beautiful objects, she's off traveling the world in order to find rare gem stones."
Navy,"determined, innovative","She is a simple researcher who had dedicated herself to her work, but she became the rebel army's laboratory head after bringing a dying female soldier back to life by semi-mechanizing her. Depending on the situation, she disseminates with her gas gun two ampoule types: recovery or poison. Even though she worked in the same laboratory, she did not get along with the professor, who was the previous head."
Perche,"Justice-driven, enthusiastic","Perche is a soldier of the Regular Army. She has a great passion for justice and as such was chosen by the army for the Metal Device Project. Even in her sleep, Perche sleep talks about being the hero.

Initially, entering the Metal Device Project just meant wearing the suit, much for her disdain. Perche spent most of her time doing janitorial work with greater speeds. It is not until Marco sent a request that she became ecstatic about finally doing some heroic work."
Elena,"Mysterious, Obsessive","A mysterious swordswoman that suddenly appears alongside her twin sibling Licht. Has an unusual obsession with overthrowing Ptolemaios. She masterfully wields a sword that is a keepsake of her mother's, and has a magnetic personality."
Kana Yabuki,"Positive, Insecure","Kana is a 14 year old girl who loves music, especially singing. As long as she can sing, she is happy. Yet, there is one problem-- namely, that she's tone deaf. Whenever she starts singing, any animals in the vicinity will start running and other people will cover their ears. Kana herself is aware of this problem and is always try her hardest to improve her skill day and night. Kana has a bright and positive personality suiting a girl her age but has a complex towards her own signing skills and she will express her own insecurities from time to time. She can also be very clumsy."
Inkarmat,"sly, cunning","Inkarmat (インカㇻマッ) is an Ainu fortune-teller. Inkarmat wears a customary Ainu clothing, which is coloured dark red with intricate patterns on them and long sleeves leaving only her hands visible. She dons a pair of leather boots and a full fox skin around her neck with a big bead necklace and earrings on both of her earlobes, as well as a sash bag hanging from her left side. She keeps her dark hair, which is shoulder length, under a bandanna and tattoo on her mouth, a tradition of Ainu women. Her headpiece is navy blue, and the beads on her earrings are coloured red. Inkarmat is a sly and cunning woman, oftentimes using people's perceptions against them and using quick deduction and the knowledge that she holds to make her 'predictions'. She enjoys fortune telling, and may even find it to be a source of comfort, as she drops the jawbone many times before the Abashiri Prison break to try and reassure herself of the fate of Asirpa's father. She certainly enjoys using it as a source of income, since she can easily swindle people out of their money and have enough left over to spend it on lavish things for herself and later on for meals for Tanigaki and Chikapasi.

Though her methods may be outlandish and far too fox-like to some, Inkarmat has been shown to care deeply about the fate of the Ainu people, and wants to make sure that Asirpa is taken care of. Despite her being somewhat selfish and self-serving, she has also shown fierce loyalty to those few she has attached herself to."
Kyra Tierney,"Impulsive, Daredevil","An implusive girl born in AW 2266 and raised in Esper Mansion, Kyra is a very powerful psychic who befriends your group. It's up to you to discover her capabilities...

Kyra is an esper and as such is able to wield true magic. Like all espers, she resides in the Esper Mansion on Dezoris. She is known to make rash decisions and is often described as a daredevil by other espers."
Akiomi Kunugi,"serious, high-strung","Fast-paced, serious, and high-strung, Akiomi is harsh on both himself and others. He's in charge of the idols' specialized curriculum and student guidance, and he also acts as the advisor of the Student Council. He's courteous and polite, but has a sarcastic manner of speaking. He can't help but give cautionary warnings to students who concern him, no matter how slight the reason may be.

He used to be a multi-talented idol who started his career in modeling, but has since resigned and become a teacher instead. He's known the school doctor Jin Sagami since his days in the entertainment world."
Wendi,"Hyperactive, Mischievous","A hyperactive and mischievous girl, Wendi holds a position similar that of a guard wing in the Numbers formation due to the wide range of mobility granted by her Inherent Equipment and her superior marksmanship, which she is particularly proud of. She is irremediably talkative and has the bad habit of teasing people, especially her enemies, making it easy for her to get people upset at her. Because of their akin personalities and the fact that she once tutored her, Wendi is very close to Sein."
Nove,"aggressive, competitive","Still a fairly recently born Number by the time of StrikerS, Nove is an offensive-type fighter with a combat style that focuses in high-speed movement and kicking attacks. A bad-mouthed, constantly upset character among the Numbers she is the one who possesses the greatest combat potential when it comes to ground-based engagements."
Sein,"cheerful, suspicious","Sein is an infiltration-type Number created at some point after Quattro. Sein is one of the most cheerful, yet suspicious-looking among the Numbers."
Ginga Nakajima,"Determined, analytical","Subaru's older sister. She belongs to Battalion 108 along with her father Major Genya Nakajima. When fighting, she uses the intelligent device Blitz Caliber which has the same dynamics as Subaru's Mach Caliber. She joined TSAB in order to further investigate the death of her mother."
Kanade Tohyama,"gentle, non-combative",She is the younger genetic half sister of Kinji Tohyama. Kanade is described as girl with a gentle heart who is not fit for combat. She wears clothes similar to a private primary school student consisting of white half-sleeved shirt with a red bow tie tied around the collar and a navy blue dress over the shirt.
Aya Hiraga,"Cheerful, Naive","Aya Hiraga is a genius of Amdo division, and as such she is enlisted by other students to upgrade or modify their weapons. Hiraga is a very cheerful person and is also slightly naive, as befitting her stature. She is a very casual person as well, being able to watch anime shows while she works on her contracts. Hiraga personality can cause her to have misunderstandings about situations very easily."
Kareha,"Cheerful, Friendly","Kareha is a god who is Asa's friend and classmate; consequentially, the two are often seen together. She has a catchphrase of saying ""Maa! Maa! Maa!"" whenever she sees something romantic or cute. She also has a younger sister named Tsubomi who is introduced in the On the Stage version of the game."
Tsubomi,"Innocent, Enthusiastic","She is Kareha's younger sister, and like Kareha, she has a tendency to space out when she see something romantic or cute. Her catchphrase is ""Kya! Kya! Kya!""."
Lira Florenz,"Brave, Resourceful","Lira is part of a resistance group in Emmental and meets Fan when he comes there after escaping from Euria, hiding him from Tytanian soldiers. Later, she is kidnapped by Count Alses Tytania, in order to lure Fan Hyulick out and capture him."
Asuka Matsubara,"playful, nurturing","Asuka Matsubara is Ken Sugisaki 's childhood friend and ex-girlfriend. To Ken, Asuka is a evil being who enjoys tormenting him.But to Ringo, she is a sweet elder sister. She is good at cooking and often cooks for the Sugisaki's siblings resulting in both of them being not able to cook."
Miharu Amakase,"Enthusiastic, Innocent","Miharu is an android patterned after a childhood friend of the Asakura family with the same name, and is thus experiences lots of things for the first time. Her enthusiasm often overrules her common sense, and Junichi often has to get her out of sight when her circuits start to overload. Like her namesake, she enjoys eating bananas. The real-life Miharu adores Nemu, and behaves much like a little puppy around her."
Tamaki Konomiya,"Intuitive, Brave",A miko at the local Shinto shrine. She inherited her mother's ability to see into the future. She uses her archery skills to prevent people from getting hurt in foreseen accidents.
Akane Hanasaki,"Playful, Caring","Akane is one of Yoshiyuki's classmates and friend of Koko and Anzu. She loves to tease Koko, especially with regards to Yoshiyuki. At the same time, she is a warm and caring friend to those close to her."
Rin Eba,"Mischievous, Troublemaker","Itsuki's younger sister and Yuzuki's step sister, who is a year older than her. She is quite fond of her older brother and is irritated by Yuzuki, saying that she acts nice just for attention. She is also known to tell lies in order to make Yuzuki upset. She is mischievous and loves to cause trouble. She shows a slight interest in Haruto."
Uruchi Minaya,"obsessive, disdainful",Uruchi Minaya is a member of the Student Council Security Division. She was in the same school as Haruko Amaya before being enrolled to Tenbi Academy and she is obsessed with her. She seems to despise Takeru Oyama.
"Rei ""Reira"" Shindou","Insecure, Adaptable","The token Cinderella of fairy tales, she is mistaken for a boy by many characters since she comes from a poor family and can only afford to wear hand-me-downs from her brother. When she does manage to wear girly clothing, she identifies herself as Rei's cousin ""Reira"" to hide her identity out of embarrassment."
Kirino Ootori,"Determined, Reserved","Another tsundere girl who lives in the Girl's Dorm along with Hachibe and Tenmaku. She is a descendant and successor of the Shuusui Ninja Clan and is very skilled. She loves singing, but hides it from others until Hachibe encouraged and helped her to pursue her dream. Due to this, she falls in love with Hachibe."
Momo Kawanagare,"assertive, just","Momo is the school's student council president, she's straight-forward, honest and has a strong sense of justice."
Beni Kinojou,"Brave, confident","Beni is the bodyguard of the school's science club. She's brave, confident and has superhuman strength."
Yuki Fuka,"quick-tempered, unyielding",Yuki is the president of the science club. She is quick-tempered and unyielding. She searches for treasure around the school and her science club has a rivalry with the student council.
Koharu SAKURAI,"carefree, irresponsible","Koharu is Chisato's colleague and a bad drunk. Due to her frequency of getting drunk during group blind dates, she gets known as ""Mu Sakura Mu Haru"" translated in ""Cherry Blossom-less Spring."""
Hana Natori,"Deceptive, Secretive","Hana is 25 years old and goes to school pretending to be her cousin because she won't go to school. Her secret is discovered by Kanie, a former classmate from high school who happens to be her History teacher."
Leila Watanuki,"charming, intelligent","Watanuki is a beautiful and witty high school student. She's also the student council president and lives in a Love Hotel. At school, it seems that most likely all students admire her."
Tomoko Fudesaka,"Direct, Honest",Tomoko is an editor as well as Flower's liaison. She has a very simple personality and doesn't mince her words.
Rose Haibara,"kind, fair","She's the real founding Madame of Primavera, Rose. However, at some point in 47, she was forced into the role of peacemaker for the Women of the Night. She's kind and fair to everyone. She's very serious and doesn't doubt a thing, the sweetheart. She lacked dignity before being a Madame, but everyone was in love with her for that reason. As a woman, she was beautiful in a sweet way. As a Woman of the Night, well, maybe that disqualifies her. Hers is a fleeting beauty, just like that of freshly fallen snow. As such, no man lays a finger on anyone."
Aries,"Impulsive, Carefree","An amnesiac young girl who fell from the sky in a vessel that looks like an escape pod. She bears the same name as one of the twelve zodiac signs. Due to her amnesia -- or perhaps her own personality -- Aries’ thoughtless remarks often leave others in a state of dumbfounded shock. Although she possesses the mysterious power to heal wounds with a mere touch, Aries herself doesn’t seem to think of it as anything special."
Yotsuba Nakano,"affable, athletic","The second youngest of the Nakano quintuplets. Like her sisters, she has disastrous grades and she is in risk of failing her year and thus her graduation. She has a very affable personality, as evident by her williness to helping others, and she willingly cooperates with Fuutarou when it comes to his teachings. She is also very prone at doing sports, as shown by her high physical ability."
Souta Mochizuki,"introspective, possessive","Sota is a decent enough kid, though tends to be introspective.

Despite being nice, his main insecurity is this possessiveness. He obviously wants the object of his affections to be happy, but he wants to keep her to himself and imagines scenarios where she's either saddened, heartbroken, or made unhappy by somebody else. It heavily comes into conflict with his low self-esteem; despite thinking that he wants her for his own, he doesn't think he's even worthy of a shot with her considering all of the mean and negative thoughts he has on a daily basis.

Ernest and straightforward. His feelings are pure, but he tends to get jealous. Since he has a childish face, his friends make fun of him. His nickname ""Mochita"" comes from combining his name and the word ""yakimochi"" (jealousy)."
Saku Akechi,"stoic, empathetic","Saku is considered to be an admirable teacher by most of his students for his cool head and his stoic personality. He has a habit of giving his various students advice whenever they're stuck, many of them koans from various Japanese texts, and applies them to their situations. His laid-back attitude also allows him to approach the students easily.
Where his internal conflict is concerned, Akechi has some problems looking back on the past, considering that he's still guilty about the death of his best friend. He never shows it at school, at least visibly, but Inokori Sensei does show that he's uncomfortable confronting Haruki because of it.
As a teenager, his personality was comparable to Yu's; while he's still more outwardly put together than his friends, he still was very emotional and enjoyed his time. Following the incident, he seems to get more stoic."
Mihoshi Kuramitsu,"clumsy, intelligent","Mihoshi is a detective of the Galaxy Police, she is prone to clumsiness and can act ditsy, despite being highly intelligent."
Washu Hakubi,"Intelligent, Ambitious",Washu is a former director of the Galaxy Academy and ranked as the top scientist in the universe. She is the one who asks Tenchi to infiltrate the school.
Feena,"adventurous, determined","A professional adventuress and member of the Adventurer's Society. Feena joins Justin and Sue in order to discover the mystery of the Icarians, an ancient mythological civilization."
Leen,"kind, popular",Leen grew up alone with her twin sister of Feena. Later she joined the Garlyle Forces becoming popular among the soldiers due to her kind nature.
Elena Miyazawa,"Strong-minded, Tomboyish","Elena is a member of the idol group Sweet Diva, she is Sakura's rival. She's a 17 year old strong-minded tomboy."
Aika Hayase,"cheerful, timid","Aika is member of the idol group Sweet Diva, always seen together with Yuuho. Although bright and cheerful like Sakura, Aika is also a bit timid."
Yuuho Mochizuki,"cheerful, sociable","Yuuho is a member of the idol group Sweet Diva, always seen together with Aika. She is the mood maker of the group."
Nanami Kanno,"calm, mature","Nanmi is Sweet Diva's leader. Like Elena and Sakura, she is 17 years old, but acts way older and is really calm."
Nia,"indecisive, forgetful","Nia is a somewhat catlike apprentice. She is quite a flake, and often forgets her assignments - even the ones she assigns herself,."
Rubi,"Commanding, Authoritative","Rubi is a very commanding DearS. She is a ""Barker"" class DearS and is the second-in-command of the DearS colony on Earth. Rubi stands out in public as she is quite big-breasted like Ren and rarely is seen without her whip. She is the one who assigns the ""Biter"" Nia to capture Ren."
Judit Snorrevík,"caring, responsible","Judit is the caretaker of Rotte and the Mercelida's best friend. 
After Rotte became unable to stand men, Mercelida puts Judit in charge of Rotte. She is responsible fro finding and bringing Naoya."
Unnbjörg Signar,"practical, supportive","Yuna is an Álfur and a friend and schoolmate of Rotte, Asuha, Míst and Lukka. She is normally the voice of reason when she is with Míst and Lukka."
Teru Miyanaga,"Dispassionate, Caring","Teru Miyanaga is a third year student and the leader of Shiraitodai High School ans the older sister of Saki Miyanaga. She is a powerful mahjong player, sometimes displaying fearsome powers until the fact that people began classify her as the strongest among all monster players.

Teru is dispassionate and almost emotionless when she is with her teammates but wears a wide fake-smile during a press conference. When she used to live with Saki, she was the typical cool older sister -- encouraging Saki to bloom like flowers on a mountain. She may be an avid reader like her sister. Even though she is somewhat cold, she has shown care to her opponent. She also loves sweet things."
Mihoko Fukuji,"Gentle, Motherly","Mihoko Fukuji is a Kazekoshi Girls' High School student, captain and ace of their mahjong team. She has heterochromia and because of her self-consciousness, she opens her right eye to no one, not even her teammates. Being gentle towards everyone including her mahjong opponents, she is a perfect figure in her school and takes care of the house chores in the Kazekoshi mahjong club. She believes that doing so allows other members to practice with ease, which has the reverse effect of other members worrying about her instead. Mihoko is a very respectful girl who thinks of others first. Despite her age she seems more of a motherly figure towards her club members rather than a sempai, protecting them from their abusive coach. She is useless when it comes to technology. She has impressive powers of observation and deduction."
Sapphie,"jealous, insecure","Sapphie is a blue dragon. She had been living with Onyx since hatching 5 years ago. She is jealous of Rose for taking the attention of Onyx away from her. She is also Onyx's fiancé, however Onyx doesn't like her as much as Rose. She has the power to control water, but has very little power, so it typically ends up backfiring on her when used."
Aoba Kozue,"nice, adaptable","Landlady of Narutaki Sou. She attends the same high school as Tamami. She has several different personalities that come out when she experiences different emotions, but returns to her original one after sleeping or passing out. Each of her different personalities has a different hairstyle involving the bells she ties her hair up in and each personality has a different eye color. Kozue&#039;s eye color is a bluish green. Ryūshi is her second cousin. She is extremely nice and like all of her personalities, she enjoys umeboshi. In the manga, she begins a relationship with Ryūshi from chapter 39. In the epilogue, it seems that she is married to Ryūshi, having four kids, most likely representing her other personalities. At the start of the series, she is sixteen years old and her birthday is on December 22."
Maria,"sadistic, harsh","Maria is a pink haired woman who runs a nearby farm where all the Arakawa residents get their dairy and produce from. Whilst having a beautiful appearance, she casually passes out incredibly harsh insults to other people and is a sadist. She met Sister during the last war that they had and she was an opposing spy that tried to get information from him."
Marie,"Nurturing, Devoted","Marie the mummy, Devoted follower of the goddess of fertility (Mater), mother figure, and primary caretaker of william with gus and blood. She is a undead from the stagnate immortal god with a contract with the god."
Takako Itsukushima,"Serious, Gentle","Takako is the student council president of the all-girls school where the story takes place. She tends to have a serious personality which compliments that of a student council president. As the president, she knows that she must be very decisive in her actions, since she knows the students would have trouble following her if she didn't act so. In private, Takako herself has stated how she almost never has confidence in herself. 

In contrast to her usual attitude, she has also shown a more gentle side to her character. Eventually, she begins to develop feelings and falls in love with Mizuho. As she is still under the belief that Mizuho is a girl, this confuses her. She also has a great fear of ghosts. She also hates frogs, the result of a childhood 'prank' pulled by Mariya in the anime version."
Kana Suoin,"Admiring, Devoted","Kanaone of the girls who lives in the same dormitory building as Mizuho, who becomes her onee-sama. Kana is more than happy to serve Mizuho in any way she can, since she admires him immensely. Kana is a first-year student, has been waiting for the chance to have an onee-sama as she has always been envious of Yukari having Mariya to fill that role. Kana wears a large pink ribbon in her hair which was given to her by the director of the orphanage she lived at for much of her life. Ultimately, the director, who loved Kana as a daughter, died right after giving her the ribbon and due to this, she almost never takes the ribbon off. Kana has never seen her mother's or father's faces. She comes to the school on an academic scholarship made possible by her own efforts because the ribbon gives her strength of mind. Kana is in the drama club. Despite being very nervous on the stage, but she is selected for the leading role at the school festival by Kei, who is the director of the club."
Yukari Kamioka,"Energetic, Fearful","Yukari is one of the first-year students at the school who lives in the same dormitory building as Mizuho and Mariya. Much like Kana and Mariya, she is a very energetic girl, although unlike them, she is deathly afraid of ghost stories and anything scary - a fact which Mariya has often used for her own amusement and which initially caused some trouble when Yukari met Ichiko. Yukari is on the track and field team along with Mariya, though her main reason for joining was due to her older sister-in-law who had urged her to come to this school and who was also in track and field. Yukari soon comes to discover that she really does like for track and field and continues to participate in club activities even when she loses her self-confidence in other matters."
Asahi Rikudou,"Dynamic, Decisive","A unique girl facing trials on her way to the Land of Dreams.

A mage who attends the Academy.

In contrast to her young appearance, she has a dynamism and decisiveness to put the average adult to shame. She’s well-known at the Academy for causing commotions. She has her own set of values and is treated as an oddball by those around her for it, but that doesn’t bother her at all. Because of her cute appearance and odd behavior, she’s got a cult following among the boys of the Academy. She’s a strong person who never doubts herself, but she’s also got an unusually pure heart, and sometimes misses her family, whom she can no longer see.

She believes in the existence of a ”Land of Dreams” and has made reaching it her ultimate goal. She believes that trials she must overcome to reach this land are recorded in the diary she’s always carrying around."
Asahi Nishizaki,"short-tempered, hardworking","Asahi is the Art teacher at Seishuu Academy. She works hard to prove her maturity but is very short-tempered when she gets called ""childish"". She's also the old dorm mate of Kaho when they were students at Shuukoukan Academy."
Mirai Suenaga,"shy, reliable","Mirai Suenaga is the mascot character for the Culture Japan brand. Since she was born in 2007, Mirai has teamed up with many companies to form collaborations around the world. Mirai has had appearances in Japanese games, anime and has even become a mascot on Malaysia’s electronic payment system cards called Touch n Go.

Mirai has also had figures made of her such as figma and Nendoroid with more to come. 

Mirai Suenaga is the main character of Mirai Millennium. She is a 2nd year high-school student at Asakusa Metropolitan High School a covert member of the Solar Marine Crimson Force. After classes, Mirai participates in the news club activities at school where she is both a newscaster and reporter.
Mirai has a bit of a shy side but at heart she is a very reliable young girl. She has a strong curiosity and will follow it through to the end with adventurous spirit. Her favorite food is oranges, and her favorite color is also orange. Her dream is to one day become a camerawoman.
Due to her parents relocation for work purposes, Mirai transferred into a metropolitan high-school in Asakusa but once there she also became involved with a covert group of soldiers known as the Solar Marines.
Mirai tends to get nervous when in the presence of large groups of people but because she is such a cutie she was told that she had to be a newscaster in the news club instead of a camerawoman. Even now she still feels pressured when reading the news on the school's TV channel.
Mirai also has incredibly good reflexes due to her self-training to be a camerawoman in harsh environments. She takes the front line position in the Crimson Force, with her 'Millennium Blade' by her side as her primary weapon. Her sidekick robot Retrokyu transforms into the Retrograde Suit which Mirai wears to enhance her battle abilities."
Sorbet,"calm, collected","Sorbet(シュガー Shugaa) is a Water Attribute mage, and a student at Will-O'-Wisp Academy. She is a party member of the protagonist in Magical Starsign, and currently leads in her class gradewise.

Sorbet is calm, collected, and rather aloof. She thinks in a logical manner, but tends to see the more negative side of things. She often criticizes herself and others, and doesn't usually accept compliments. She later shows slight signs of depression."
Lassi,"ditzy, mischievous","Lassi (ジャズミン Jazumin) is a Wind mage and the second member of the character's party in Magical Starsign.

Lassi is a scatterbrained rabbitmorph and takes things at her own pace. She is rather ditzy in nature, and is easily amused. She is also very naive, and tends to argue over trivial matters. Despite being quite mischievous and sometimes a bit sarcastic, she hates being called ""bunny girl."" She is most likely the best friend of the protagonist, and even develops a crush on them if they are male. She is the most talkative after Pico, but actually reads the atmosphere before seeing if its appropriate to speak or not. 

""Hear me wind, hear my call! Dancing in the sky... Shaping the clouds... Whispering to the heavens... Hear my plea, And send your gale!"""
Ōkamii Gūzen,"joyful, helpful",Ōkamii Gūzen is a joyful game-developer working on several game projects with his friends. He tries to work on various aspects of the projects and helps as he can.
Misato Asou,"Resilient, Empathetic","Misato Asou is a second year high school student and the president of the geology research club.
She called the Kaiyuu radio station the when she was in thre middle school because she wanted to die and wanted some advices to get through the bad times, then she later became friend with him, Ms. Sukekiyo, Mr. Sadakhici and the other resident of the pension, even if they've never met."
Iku Sahara,"childish, silly","Iku is a social studies teacher and is Kouta's homeroom teacher. She is prone to making silly mistakes and is very childish. She is in fact possessed by a yōkai and thus has dissociative identity disorder as an effect. She has to conceal her true identity to Chizuru, and oversees the spirits at school."
Mina Etsuko,"Cunning, Deceptive",Mina Etsuko is one of the White Delmos. During the events of Silver Wild Grapevine she poses as the commander of an airbase to trick Aika Sumeragi.
Escalla,"Adventurous, Courageous","Escalla is a faerie and adventurer from Oerth (the world of the Greyhawk Dungeons & Dragons setting). Escalla resembles a beautiful, 18 inch tall elven woman with insectile wings. She is part of a group of companions - The Justicar, Cinders, Private Henry, Enid, and Polk - who have faced the challenges of such classic Dungeons & Dragons modules as White Plume Mountain, Descent Into the Depths of the Earth, and Queen of the Demonweb Pits."
Enid,"shy, sweet-tempered","Enid is a gynosphinx from Oerth (the world of the Greyhawk Dungeons & Dragons setting). As a gynosphinx, Enid has the head and chest of a woman and the limbs and body of a lion, with the wings of a bird of prey. Enid's forepaws are adapted to do anything a humanoid's hands can, and with some effort, she can walk on her hindlegs. Enid is a shy, sweet-tempered bookworm, and her human looks are best summarized as ""cute librarian with freckles."" She is part of a group of companions - The Justicar, Cinders, Escalla, Private Henry, and Polk - who have faced the challenges of such classic Dungeons & Dragons modules as White Plume Mountain, Descent Into the Depths of the Earth, and Queen of the Demonweb Pits."
Muramasa,"Reliability, Determination","Muramasa is a Tsukumogami born from the Tachi. The Tachi in their hand is the source of all misfortune. Muramasa is always wandering among humans, hoping to find their saviour.

The sprite next to Muramasa is the most reliable company. Muramasa and the sprite kills enemies with their tachi and summon the evil spirit from the katana to eliminate negative status. While in urgent danger, Muramasa will summon the inferno fire to kill the enemies. It is a really powerful help."
Hel,"Distrustful, Strategic","As one of the regents of Pandemonium's sprawling netherworld, Hel keeps family close and her allies closer. Her beauty has won her many admirers, but made her distrustful of others' intentions, and while she chooses her words wisely, her tongue can have a razor's edge.

Hel specializes in short-range, brutally damaging combat. Her hot kisses can, when blown, detonate with incredible destructive power. She also puts her limber legs to effective use, lashing foes with lightning-fast flurries of kicks."
Shirayuki,"Elegant, Artistic","With an impeccable sense of manners and propriety, elegant beauty that holds the gaze of men and women alike, and great skill in poetry and music, Shirayuki has captured the hearts of all in the wintry realm from which she hails. Will those in the mortal realm appreciate her exacting aesthetic tastes?

Able to manipulate snow and ice at her whim, she uses her harsh assault to wear enemies down, but her skill as an entertainer also allows her to bolster the power of her allies. Naturally, Shirayuki finds this elegant balance between offense and defense the most fitting."
